get-1:scale-g=0.00025,scale-p=0.005,(Intercept)=0.491649599742135,g=0.301211761784481,p=-0.00657088184979635,g2=0.797326012833766,g3=-0.0899840540400483,g4=1.49209628625229,expg8=1.39266426925267e-05,expg15=7.60785793333578e-05,p2=-2.92403400688551,p3=9.01307172194673,p4=-3.99587641877372,expp8=-0.00162697160391008,expp15=0.00145497066060461,g2_p=11.6928700745164,g3_p=-19.9999999994992,g4_p=-19.999999999309,expg8_p=-0.0164004722100368,expg15_p=-0.00100848820224472,p2_g=16.4952714756087,p3_g=-19.9999999987156,p4_g=-19.9999999985686,expp8_g=-0.0264591515159460,expp15_g=-0.0207658068164466,g2_p2=-19.9999999994588,g3_p2=-19.9999999987347,g4_p2=19.9999999924225,expg8_p2=0.52444825342244,expg15_p2=0.00286226397811134,p3_g2=-19.9999999984229,p4_g2=-19.9999999917016,expp8_g2=-0.850685540366081,expp15_g2=0.109022293595283
get-10:scale-g=0.00025,scale-p=0.005,(Intercept)=0.784285361756098,g=0.759579923272006,p=-0.154269814550308,g2=5.64832362539458,g3=6.25648144563423,g4=-19.9999999745069,expg8=-0.00330907617657504,expg15=0.000402865950033605,p2=19.9999999896558,p3=15.019213704011,p4=-19.9999999527952,expp8=-0.244113880075184,expp15=0.0158889119778808,g2_p=19.999999996496,g3_p=16.9922610326624,g4_p=-19.9999999170882,expg8_p=0.117588926539822,expg15_p=-0.00685732252024785,p2_g=19.9999999948114,p3_g=-19.9999999323118,p4_g=-19.9999999478399,expp8_g=0.154680136983443,expp15_g=-0.167811202125201,g2_p2=19.9999998914014,g3_p2=-19.9999998147491,g4_p2=-19.9999997317008,expg8_p2=0.297425843504855,expg15_p2=0.0334657408569932,p3_g2=-19.9999999105820,p4_g2=-19.9999998658109,expp8_g2=-5.43892313066828,expp15_g2=0.841186405235055
get-20:scale-g=0.00025,scale-p=0.005,(Intercept)=1.07338193649374,g=0.552285328584659,p=0.0989734987471904,g2=17.9561883022849,g3=3.35642014015423,g4=7.82461418391303,expg8=-0.0927524322876175,expg15=0.00153433962416863,p2=19.9999999997277,p3=19.999999997761,p4=-19.9999999979189,expp8=-0.465504292506821,expp15=0.0518766010940982,g2_p=19.9999999994217,g3_p=-19.9999999911185,g4_p=-19.9999999939302,expg8_p=0.763644453859578,expg15_p=-0.0230370571915912,p2_g=19.9999999993087,p3_g=-19.9999999952572,p4_g=-19.9999999953774,expp8_g=1.78604364368932,expp15_g=-0.546151157844341,g2_p2=19.9999999864232,g3_p2=-19.9999999815853,g4_p2=-19.9999999666929,expg8_p2=0.372651168094646,expg15_p2=0.091927958893365,p3_g2=-19.9999999914098,p4_g2=-19.9999999850786,expp8_g2=-13.8694528312880,expp15_g2=2.18298249086053
get-50:scale-g=0.00025,scale-p=0.005,(Intercept)=0.589170596189273,g=6.8571257397773,p=-2.52959226203597,g2=19.9999999999995,g3=-19.9999999999955,g4=-19.9999999999958,expg8=-0.0763898194074021,expg15=0.00642658150206674,p2=19.9999999999992,p3=19.9999999999711,p4=-19.9999999999926,expp8=-0.24723947391271,expp15=0.119661507930221,g2_p=19.9999999999952,g3_p=-19.9999999999903,g4_p=-19.9999999999822,expg8_p=2.09891521737033,expg15_p=-0.116225062166039,p2_g=19.9999999999961,p3_g=-19.9999999999863,p4_g=-19.999999999981,expp8_g=0.761271000373075,expp15_g=-1.44889553388666,g2_p2=-19.9999999999808,g3_p2=-19.999999999974,g4_p2=-19.9999999999000,expg8_p2=-3.82257609096686,expg15_p2=0.53633405212753,p3_g2=-19.9999999999751,p4_g2=-19.9999999999264,expp8_g2=-19.9999999999998,expp15_g2=6.09263559049209
get-70:scale-g=0.00025,scale-p=0.005,(Intercept)=-0.310954578443978,g=15.3729776621884,p=-7.50242421857144,g2=19.999999999993,g3=-19.999999999991,g4=-19.9999999999878,expg8=-0.0759166457206006,expg15=0.00511209666392016,p2=-19.9999999999043,p3=-19.9999999992292,p4=19.9999999997239,expp8=0.750595645475847,expp15=0.000666419375327464,g2_p=-19.9999999999822,g3_p=-19.9999999999655,g4_p=-19.9999999998307,expg8_p=1.35001062334734,expg15_p=-0.0653565689401193,p2_g=-19.9999999999413,p3_g=-19.9999999997946,p4_g=19.9999999988653,expp8_g=-4.57705207292237,expp15_g=-0.362249449876283,g2_p2=-19.9999999999218,g3_p2=-19.9999999997065,g4_p2=19.9999999994227,expg8_p2=19.9999999999994,expg15_p2=0.163535091919378,p3_g2=-19.999999999398,p4_g2=19.9999999991123,expp8_g2=-19.9999999999988,expp15_g2=4.38744332152557
get-90:scale-g=0.00025,scale-p=0.005,(Intercept)=1.29283643565434,g=-4.03286706045173,p=15.5869568694810,g2=-19.9999999999628,g3=19.9999999997158,g4=19.9999999997123,expg8=0.486721865853388,expg15=-0.00163073003887456,p2=-19.9999999999767,p3=-19.99999999904,p4=19.9999999993219,expp8=-0.986271813852115,expp15=-0.0104494506858788,g2_p=-19.9999999996247,g3_p=19.9999999991008,g4_p=19.9999999988244,expg8_p=-2.49825476151693,expg15_p=0.0134887064376901,p2_g=-19.9999999996851,p3_g=19.9999999988296,p4_g=19.9999999984767,expp8_g=8.49822582949217,expp15_g=0.495538825032941,g2_p2=19.9999999980429,g3_p2=19.9999999980501,g4_p2=19.9999999922721,expg8_p2=19.9999999999922,expg15_p2=-0.11644367887588,p3_g2=19.9999999979105,p4_g2=19.9999999924524,expp8_g2=19.9999999999950,expp15_g2=-0.934793173823225
get-99:scale-g=0.00025,scale-p=0.005,(Intercept)=50.5043473805141,g=19.9999999983844,p=-19.9999999987692,g2=-19.9999999936090,g3=-19.9999999915469,g4=19.9999999492363,expg8=0.265320134112702,expg15=0.00148861398848954,p2=-19.9999999973346,p3=-19.9999999630229,p4=19.9999999777564,expp8=1.32472513264446,expp15=-0.209731510749638,g2_p=-19.9999999941435,g3_p=-19.9999999668204,g4_p=19.9999999171308,expg8_p=-1.05474347300253,expg15_p=-0.0257694239418395,p2_g=-19.9999999943538,p3_g=-19.9999999131246,p4_g=19.9999999472716,expp8_g=-0.0587529906100672,expp15_g=1.68434674894442,g2_p2=-19.9999999743013,g3_p2=-19.9999997693525,g4_p2=19.9999994921926,expg8_p2=18.1595218166395,expg15_p2=0.0237465002397509,p3_g2=19.9999996845708,p4_g2=19.9999998663840,expp8_g2=19.999999998088,expp15_g2=-2.47213558575047
get-99.9:scale-g=0.00025,scale-p=0.005,(Intercept)=60.4744396400225,g=19.9999999999322,p=19.9999999997993,g2=-19.9999999998427,g3=-19.9999999998813,g4=-19.9999999995943,expg8=0.184332608843560,expg15=-0.00180136866480723,p2=-19.9999999998550,p3=-19.999999999352,p4=19.9999999989429,expp8=-1.46677515873470,expp15=0.140366466504005,g2_p=-19.9999999996354,g3_p=-19.9999999987907,g4_p=-19.9999999869887,expg8_p=1.20765240810091,expg15_p=0.0248835981921544,p2_g=-19.9999999996190,p3_g=-19.9999999962433,p4_g=19.99999999631,expp8_g=5.32603605461427,expp15_g=-0.675525209723696,g2_p2=-19.9999999983081,g3_p2=-19.9999999875001,g4_p2=19.9999999801809,expg8_p2=5.9763110069034,expg15_p2=-0.170405503192645,p3_g2=-19.9999999716596,p4_g2=19.9999999908983,expp8_g2=19.9999999999199,expp15_g2=2.34123190203946
put-1:scale-g=0.00025,scale-p=0.005,(Intercept)=3.88084311085703,g=1.21328783409940,p=-1.53906818676344,g2=12.9367422659172,g3=-19.9999999998943,g4=4.51531647417703,expg8=0.0407330749722591,expg15=0.000167456319111254,p2=19.9999999999843,p3=19.9999999945454,p4=-19.9999999999241,expp8=-0.229885268922340,expp15=0.0184232882465427,g2_p=19.9999999999436,g3_p=-19.9999999999156,g4_p=-19.9999999998281,expg8_p=-0.455450573866102,expg15_p=-0.00116479104598967,p2_g=19.9999999999687,p3_g=-19.9999999998599,p4_g=-19.9999999998831,expp8_g=-0.00935362046772216,expp15_g=-0.188436540094711,g2_p2=-19.9999999998631,g3_p2=-19.9999999997682,g4_p2=-19.9999999978170,expg8_p2=4.20070214613047,expg15_p2=-0.00795331344764334,p3_g2=-19.9999999998037,p4_g2=-19.9999999995421,expp8_g2=-6.70901642671229,expp15_g2=0.839613964537475
put-10:scale-g=0.00025,scale-p=0.005,(Intercept)=3.45867022246136,g=7.4130388523359,p=1.81008698490807,g2=19.9999999887492,g3=-1.33227028985102,g4=-19.9999998628285,expg8=-0.0422793436616069,expg15=0.00222978884183004,p2=19.9999999899669,p3=19.999999549491,p4=-19.9999986712752,expp8=-0.244034550891267,expp15=0.0363666887306967,g2_p=19.9999998648355,g3_p=-19.9999973219695,g4_p=-19.9999984316065,expg8_p=0.621161339388212,expg15_p=-0.0333301174192913,p2_g=19.9999998201896,p3_g=-19.9999972367249,p4_g=-19.9999978482311,expp8_g=-0.801540822069339,expp15_g=-0.50193321916682,g2_p2=19.9999955046442,g3_p2=-19.9999943671822,g4_p2=-19.9999916485044,expg8_p2=3.67198506729582,expg15_p2=0.116378943531715,p3_g2=-19.9999962361091,p4_g2=-19.9999945432722,expp8_g2=-17.6060010067243,expp15_g2=2.95787350791130
